W.S Jawadekar,Managemnet Information System,Tata McGrow Hill Company ,2002,726,
"Robert Murdic, Joel Ross & James Clagget ",Information  System for Modern Management ,Prentie Hall of Inida (P) Ltd,2001,466,195
Amal Gindal ,Managemnet Information System,Kalyani Publishers,2003,302,100
Kenneth Lauden & Jane P Laudon ,Managemnet Information System,Kalyani Publishers,2002,547,
D.P Goyal ,Managemnet Information System,Macmillan Busienss Books & Macmillan India Ltd,2002,426,198
M.M Abraham & Gireesh Kumar ,Business Communication & Management Information System ,Prakash Publications ,2013,226,110
James 'O'  Brien ,Managemnet Information System,Tata McGrow Hill Company ,2001,700,
"Dr.KGC Nair , Dr. Jayan & Dr. Yohannan ",Business Communication & Management Information System ,Chand Publications ,,5.46,80
