G M K Madanai,Introduction to Econometrics- Principles & Applications,"CBS Publishers & Distributors, New Delhi",2020,454,
S Shyamala & Navdeep Kaur,A textbook on Econometrics - Theory & Applications,"Vishal Publications, New Delhi",2020,532+Axx,350
"Damodar N Gujarati, Dawn C Porter, Manoranjan Pal",Basic Econometrics,Mcgraw Hill Education (India) Pvt Ltd,2021,910,
