Ravindra Kumar Arora,Financial Derivatives & Risk Management,Vikas Publishing House,2011,194,-
"Ravindra Kumar Arora, Punithavathy Pandion, H R Mcchiraju",Financial Derivatives & Risk Management,Vikas Publishing House,2013,246,-
"Ravindra Kumar Arora, Punithavathy Pandion, H R Mcchiraju",Financial Derivatives & Risk Management,Vikas Publishing House,2013,246,-
