Suresh Bedi,Business Environment,Excel Books Pvt Ltd,2019,656,995
Shaikh Saleem ,Business Environment,Pearson,2020,834,799
Paul Wetherly & Dorron otter,The Business  Environement Themes & Issues,Oxford University Press,2013,482,699
Dr. Amit Kumar ,Business Environment,Sathitya Bhawan Publication ,2021,489,395
Justin Paul,Business Environment Text & Cases,McGraw Hill Education,2019,592,556
Faisal Ahmed & M Absar Alam,Business Environment Indian & Global Perspective,PHI Learning Pvt Ltd,2017,467,495
Francis Cherunilam,Business Environment Text & Cases,Himalaya Publishing House,2019,755,710
